ratio,time,label
0.54,17.2,female
0.93,18.2,male
0.84,13.6,female
0.19,6,male
0.89,13.2,female
0.55,15.4,female
0.58,12.8,female
0.24,7.2,male
0.06,23,male
0.07,8.6,male
0.79,9.2,male
0.17,18.6,female
0.66,15.8,female
0.34,21.6,male
0.37,10.2,male
0.8,20.8,male
0.8,21,male
0.98,10.4,male
0.71,17.6,female
0.16,19.8,male
0.66,15.2,female
0.65,8.4,male
0.23,10,male
0.26,18.6,female
0.74,10.2,male
0.4,18.2,female
0.02,11.2,male
0.7,20.8,male
0.51,12.2,female
0.78,16.6,female
0.82,8.2,male
0.66,20,male
0.5,8.2,male
0.82,10,male
0.64,9.6,male
0.18,22.2,male
0.11,17.4,female
0.13,14,female
0.13,8.6,male
0.2,16,female
0.39,18.8,female
0.9,17.4,female
0.63,6,male
0.98,23.6,male
0.17,22.2,male
0.91,8.2,male
0.07,18.2,male
0.71,21.2,male
0.31,6,male
0.39,20.2,male
0.57,22.8,male
0.66,13.4,female
0.33,18.8,female
0.54,6.8,male
0.29,16.6,female
0.77,11.6,female
0.54,22.2,male
0.08,22.4,male
0.61,16.2,female
0.65,7,male
0.73,23,male
0.29,16.6,female
0.97,15.2,male
0.07,16.4,male
0.6,22.4,male
0.46,11.2,female
0.85,7.8,male
0.5,6.4,male
0.07,17.4,male
0.46,17.8,female
0.34,6,male
0.8,11.4,female
0.42,16.2,female
0.65,16.8,female
0.35,14.4,female
0.07,23.4,male
0.97,8.6,male
1,9.6,male
0.84,9.4,male
0.49,22.6,male
0.11,24,male
0.08,11.4,male
0.46,22.8,male
0.02,16.6,male
0.58,8.6,male
0.5,20.8,male
0.45,6.4,male
0.71,20.8,male
0.49,21.2,male
0.57,9.4,male
0.6,13.6,female
0.25,10.6,male
0.67,13.2,female
0.38,6.8,male
0.04,18.4,male
0.87,9.8,male
0.61,13.2,female
0.95,10.2,male
0.05,10.4,male
0.19,20,male
0.26,20,male
0.86,15.2,female
0.94,21.2,male
0.51,15.6,female
0.77,7.4,male
0.2,14.6,female
0.87,7.8,male
0.03,16.4,male
0.99,6,male
0.47,19.2,male
0.04,19.8,male
0.12,9.4,male
0.14,17.6,female
0.48,15.4,female
0.83,7.8,male
0.7,19.2,male
0.94,20,male
0.51,7.2,male
0.05,8.8,male
0.22,14.4,female
0.57,21.2,male
0.65,16.6,female
0.19,11.6,female
0.8,8,male
0.43,13.4,female
0.84,8,male
0.15,9.8,male
0.21,12.4,female
0.43,20.2,male
0.4,9,male
0.77,14.6,female
0.65,23.2,male
0.07,11.6,male
0.78,21.2,male
0.27,11.6,female
0.67,23,male
0.05,18.8,male
0.99,12.8,male
0.49,13.8,female
0.09,10,male
0.12,15.6,female
0.34,7.6,male
0.86,13.6,female
0.72,21,male
0.1,23,male
0.89,7.2,male
0.92,10.2,male
0.59,21.4,male
0.07,8.8,male
0.24,11.2,female
0.77,20.4,male
0.84,23.2,male
0.53,20.8,male
0.96,12,male
0.34,22.2,male
0.01,8.2,male
0.94,23.4,male
0.14,10.4,male
0.63,20.8,male
0.62,14.4,female
1,10.2,male
0.47,11.6,female
0.54,23.4,male
0.92,11,male
0.06,12.8,male
0.51,12.2,female
0.88,12.8,female
0.38,17.2,female
0.01,7.2,male
0.65,15,female
0.25,22.6,male
0.25,8.6,male
0.26,17.4,female
0.26,21.4,male
0.41,13,female
0.41,19.4,male
0.52,7.4,male
0,6.2,male
0.04,14.4,male
0.87,18,female
0.64,13.6,female
0.42,15.2,female
0.54,20,male
0.73,10.2,male
0.5,19.8,male
0.38,20,male
0.71,10.4,male
0.26,23.8,male
0.52,11.2,female
0.97,21,male
0.32,12.2,female
0.95,23.2,male
0,13.6,male
1,16,male
0.16,7,male
0.62,17.2,female
0.79,9.8,male
0.91,19.8,male
0.73,18.8,female
0.46,15.2,female
