Month,Exchange Rate TWI
1,100
2,99.6
3,99.4
4,99.1
5,99.2
6,99.2
7,99.2
8,99.3
9,100
10,100
11,100
12,100
13,99.8
14,99.8
15,99.7
16,99.3
17,99.8
18,99.4
19,99.3
20,99.8
21,98.8
22,98.1
23,97.8
24,97.9
25,97.9
26,98.5
27,98.6
28,98.5
29,98.9
30,99.8
31,99.4
32,106.5
33,105.9
34,110.7
35,110.5
36,110.5
37,109.1
38,107.9
39,107.9
40,108.9
41,113.9
42,113.8
43,117.3
44,118.1
45,121.3
46,119
47,115.5
48,116
49,117
50,117.3
51,118.8
52,120.5
53,105.3
54,105.3
55,105.3
56,105.3
57,105.3
58,105.3
59,105.3
60,105.3
61,105.3
62,105.3
63,105.3
64,105.3
65,105.3
66,105.3
67,105.3
68,105.3
69,105.3
70,105.3
71,105.3
72,105.3
73,105.3
74,105.3
75,105.3
76,105.3
77,105.3
78,105.3
79,86.9
80,92.2
81,92.2
82,92.5
83,92.5
84,92.5
85,92.5
86,92.5
87,92.5
88,91.5
89,91.5
90,90.9
91,90
92,89.4
93,89.2
94,88.5
95,87.5
96,87.5
97,87.3
98,86.2
99,84.7
100,83.7
101,83.6
102,82.2
103,83.2
104,82.7
105,82.8
106,82.4
107,82.3
108,82.8
109,83.1
110,83.1
111,83.3
112,83.5
113,83.5
114,83.7
115,83.6
116,83.3
117,83.2
118,83.5
119,84.4
120,84.5
121,84.7
122,85
123,85.5
124,85.8
125,85.8
126,86.2
127,86.8
128,87.1
129,87.5
130,88.2
131,88.8
132,89.5
133,90.8
134,92.9
135,94.2
136,94.4
137,93.8
138,93
139,91.2
140,90.5
141,90.1
142,89.2
143,88.8
144,88.2
145,88
146,88.2
147,86.1
148,84.1
149,83.8
150,83.9
151,83.5
152,83.4
153,83.6
154,82.4
155,76.1
156,76.2
157,77.6
158,77.7
159,78.8
160,79.6
161,80.4
162,81.7
163,82
164,81.1
165,83.5
166,84.2
167,82.9
168,82.6
169,81.6
170,79.2
171,78.7
172,80.1
173,80.3
174,82
175,83.5
176,81.3
177,80.8
178,72.3
179,69.2
180,64.2
181,64.8
182,65
183,68.5
184,66.4
185,64.8
186,63.4
187,60.9
188,60.7
189,62.7
190,59.8
191,61.1
192,61.4
193,60.7
194,56.3
195,49.3
196,50.3
197,51.9
198,54
199,54.3
200,55
201,52.8
202,54.1
203,55.4
204,54.5
205,55.8
206,56.6
207,55.3
208,55.2
209,56.2
210,51.7
211,52.3
212,52
213,52.5
214,53.1
215,53.8
216,55.2
217,58.9
218,59.8
219,61
220,61.8
221,60
222,61.1
223,63.7
224,63.2
225,66.7
226,59.6
227,62.2
228,60
229,58.8
230,59.4
231,57.8
232,60
233,59.8
234,60.7
235,60.4
236,61.1
237,59.4
238,59
239,59.8
240,59.6
241,60.2
242,61.6
243,60.4
244,61.4
245,61.6
246,57.2
247,56.9
248,57.3
249,57.5
250,57.9
251,59.7
252,60.2
253,58.5
254,59.7
255,60.1
256,60.5
257,60.6
258,59.3
259,59
260,55.9
261,55.8
262,56.8
263,58.6
264,57.9
265,56.9
266,55.2
267,54.7
268,51.6
269,51.7
270,51.9
271,51.8
272,52.4
273,51.6
274,52.7
275,52.9
276,52.3
277,49.4
278,49.5
279,50.6
280,49.3
281,47.3
282,49.4
283,49.1
284,50.8
285,54
286,53.6
287,52.1
288,52.6
289,54.6
290,53
291,53.9
292,53.9
293,53.4
294,53.1
295,55.5
296,56.2
297,54.5
298,52.9
299,50.7
300,49.6
301,48.5
302,48.4
303,51
304,53.9
